ContContracts Register -  All live contracts ,,,,,,,,,,,,,,,,,,,,,,,,,,
Ref No,Contract Title,Directorate,Department,Team Name,Classification,Term Contract,OJEU,Awarded,Has ext option,Contract variation,Electronics watch,Serivce type,Budget,Actual cost,Est cost,Cost variance,Duration (months),Extended,Ext post contract,Auth to tender,Framework Agreement,Initial start date,Initial end date,Ext start date,Ext end date,Successful supplier
7162,External Complaints Service -CMP,People Directorate,People Services,"People Strat, Work Plan & Data",Professional Services  / HR Services,No,No,Yes,No,,,Goods/Service,Expenditure,"£ 149,999","£ 149,999",£ 0,6,No,No,,ESPO 383_21 Managed Training Services Framework,23/01/2023,22/07/2023,,, conflict management plus  (vendor no: N/A)
7174,Support of Payroll HR System,Directorate of Corporate Services,Information and Communications Technology ,ICT Management,ICT / Software,Yes,No,Yes,Yes,,,Goods/Service,Expenditure,"£ 100,000","£ 100,000",£ 0,12,No,No,,G-Cloud 12,12/01/2023,11/01/2024,,, SumTotal Systems UK Limited (vendor no: 13368)
7109,Euston and Northolt - Electrical Adaptation Works,Directorate of Corporate Services,Property and TSS,Property Major Projects,Construction and FM / Technical Services,No,No,Yes,No,,,Works,Expenditure,"£ 40,000","£ 40,000",£ 0,1,No,No,Delegated Authority,,03/01/2023,02/02/2023,,, Linfield electrical  (vendor no: N/A)
6857,Barnet Fire Station Provision of Motorised Yard Gates,Directorate of Corporate Services,Property and TSS,Property Major Projects,Construction and FM / Industrial Goods,No,No,Yes,No,,,Works,Expenditure,"£ 120,000","£ 120,000",£ 0,3,No,No,Delegated Authority,,02/01/2023,01/04/2023,,, sucurafit  (vendor no: N/A)
6841,Electrical Rewire project at Eltham Fire Station,Directorate of Corporate Services,Property and TSS,Leavers,Construction and FM / Building Operations,No,No,Yes,No,,,Works,Expenditure,"£ 300,000","£ 300,000",£ 0,3,No,No,,,02/01/2023,01/04/2023,,, Lindfield Electrical  (vendor no: N/A)
7058,LED Energy efficient lighting project,Directorate of Corporate Services,Property and TSS,Property Major Projects,Construction and FM / Property Occupation,No,No,Yes,No,,,Works,Expenditure,"£ 55,995","£ 70,000","(£ 14,005)",2,No,No,,,02/01/2023,01/03/2023,,, Millwood Services  (vendor no: N/A)
7135,Park Royal & Forest Hill Windows Renewal,Commissioner,Directorate of Corporate Services,Property Major Projects,Construction and FM / Construction Service Providers,No,No,Yes,No,,,Works,Expenditure,"£ 360,000","£ 360,000",£ 0,16,No,No,,,02/01/2023,01/05/2024,,, Regen construction limited  (vendor no: N/A)
7134,Mobile Paging Application,Directorate of Corporate Services,Information and Communications Technology ,Emergency Services Network,ICT / Communication,No,No,Yes,No,,,Goods/Service,Expenditure,"£ 35,343","£ 36,600","(£ 1,257)",12,No,No,Budget Holder Approval,G-Cloud 12,09/12/2022,08/12/2023,,, PageOne Communications Limited (vendor no: 21138)
6657,Plumstead Fire Station - Refurbishment,Directorate of Corporate Services,Property and TSS,Property Major Projects,Construction and FM / Construction Service Providers,No,Yes,Yes,No,,,Works,Expenditure,"£ 4,500,000","£ 4,500,000",£ 0,12,No,No,Delegated Authority,,03/12/2022,02/12/2023,,, 8 Build  (vendor no: N/A)
7113,Bill Validation and Energy Services,Directorate of Corporate Services,Property and TSS,Property Technical Assurance,Construction and FM / Building Operations,Yes,No,Yes,No,,,Goods/Service,Expenditure,"£ 25,000","£ 25,000",£ 0,24,No,No,Budget Holder Approval,NHS Shared Business Services Framework,01/12/2022,30/11/2024,,, TEAM (vendor no: N/A)
7154,Cisco ISE Licences,Directorate of Corporate Services,Information and Communications Technology ,ICT Management,ICT / Software,Yes,No,Yes,No,,,Goods/Service,Expenditure,"£ 43,150","£ 43,150",£ 0,36,No,No,,,01/12/2022,30/11/2025,,," Computacenter (UK) Ltd (vendor no: N/A), Intuitive Systems & Networks Ltd (ISN) (vendor no: 18395)"
7041,COBRA/PPV acquisition training,Directorate for Preparedness and Response,Operational Resilience and Control,Response and Training,Professional Services  / Development and Training,Yes,No,Yes,No,,,Goods/Service,Expenditure,"£ 99,000","£ 99,000",£ 0,36,No,No,Delegated Authority,,01/12/2022,30/11/2025,,, Northamptonshire County Council (vendor no: N/A)
7008,Company Watch Financial Analytics and Supplier Due Diligence,Directorate of Corporate Services,Procurement and Commercial,Categories & Performance,Professional Services  / Business Support,Yes,No,Yes,No,,,Goods/Service,Expenditure,"£ 67,755","£ 74,478","(£ 6,723)",36,No,No,,,01/12/2022,30/11/2025,,," Company Watch Limited (vendor no: N/A), Company Watch Limited (vendor no: 22457)"
6954,Fire Commander Log Keeper Course (Loggist),"Directorate for Prevention, Protection and Operational Policy",Operational Policy,Incident Command Policy,Professional Services  / Development and Training,Yes,No,Yes,No,,,Goods/Service,Expenditure,"£ 12,000","£ 12,000",£ 0,24,No,No,,,01/12/2022,30/11/2024,,, Bob Clarke (vendor no: N/A)
7090,LexisLibrary,Directorate of Corporate Services,General Counsel,Departmental Management & Business Support,ICT / Software,Yes,No,Yes,No,,,Goods/Service,Expenditure,"£ 28,148","£ 28,148",£ 0,36,No,No,Budget Holder Approval,,01/12/2022,30/11/2025,,, LexisNexis (vendor no: 10367)
6798,Provision of Portable Repeaters,"Directorate for Prevention, Protection and Operational Policy",Operational Policy,Respiratory Protective Equipment Project,ICT / Communication,Yes,No,Yes,No,,,Goods/Service,Expenditure,"£ 149,955","£ 149,955",£ 0,60,No,No,,CCS Network Services 2,01/12/2022,30/11/2027,,, Radiocoms Systems Limited (vendor no: 10961)
6930,Supply of Diesel for Strategic Reserve Storage Tanks ,Directorate for Preparedness and Response,Fire Stations,Fire Stations & Area Team Management,Fleet  / Fuel,Yes,No,Yes,No,,No,Goods/Service,Expenditure,"£ 35,000","£ 450,000","(£ 415,000)",24,No,No,,CCS Fuels ,01/12/2022,30/11/2024,,, WFL UK Limited (vendor no: N/A)
7091,Thomson Reuters - Practical Law and Westlaw,Directorate of Corporate Services,General Counsel,Departmental Management & Business Support,ICT / Software,Yes,No,Yes,No,,,Goods/Service,Expenditure,"£ 56,716","£ 56,716",£ 0,36,No,No,Budget Holder Approval,,01/12/2022,30/11/2025,,, Thomson Reuters (Professional) UK Limited (vendor no: N/A)
6960,LED Energy efficient lighting project,Directorate of Corporate Services,Property and TSS,Property Major Projects,Construction and FM / Energy,No,No,Yes,No,,,Works,Expenditure,"£ 135,141","£ 135,141",£ 0,2,No,No,,,30/11/2022,29/01/2023,,, Lindfield Electrical Services Ltd (vendor no: N/A)
7125,Culture Amp,People Directorate,People Services,Organisational Effectiveness,ICT / Software,Yes,No,Yes,No,,No,Goods/Service,Expenditure,"£ 45,695","£ 45,695",£ 0,12,No,No,Budget Holder Approval,,26/11/2022,25/11/2023,,, Culture Amp (vendor no: N/A)
7127,Portacount Machines,Directorate of Corporate Services,Property and TSS,Operations Support Group,Operational Equipment / Emergency and Rescue Equipment and Supplies,No,No,Yes,No,,,Goods/Service,Expenditure,"£ 54,185","£ 54,185",£ 0,60,No,No,Budget Holder Approval,,22/11/2022,21/11/2027,,, Respiratory Protective Assessment Ltd (vendor no: 18869)
7042,Vehicle Inspection and Fitting of Blues & Twos ,Directorate of Corporate Services,Procurement and Commercial,Vehicle Administration,Fleet  / Vehicle Conversion,Yes,No,Yes,No,,,Goods/Service,Expenditure,"£ 110,000","£ 110,000",£ 0,24,No,No,Budget Holder Approval,,09/11/2022,08/11/2024,,, Pullman Motors (vendor no: N/A)
7117,Advanced Coaching Academy,People Directorate,People Services,Leadership Development,Professional Services  / Learning,No,No,Yes,No,,,Goods/Service,Expenditure,"£ 3,500","£ 3,500",£ 0,12,No,No,Budget Holder Approval,,07/11/2022,06/11/2022,,, Advanced Training Academy  (vendor no: N/A)
7157,Leadership Development for Hos/TMG,People Directorate,People Services,Leadership Development,Professional Services  / Development and Training,No,No,Yes,No,,,Goods/Service,Expenditure,"£ 39,000","£ 39,000",£ 0,13,No,No,,,07/11/2022,06/12/2023,,, The Windsor Leadership Trust (vendor no: 17528)
7022,Dynamic Cover Tool (DCT) - licence and support,Directorate of Corporate Services,Information and Communications Technology ,ICT Management,ICT / Software,Yes,No,Yes,No,,,Goods/Service,Expenditure,"£ 120,000","£ 120,000",£ 0,36,No,No,Budget Holder Approval,,06/11/2022,05/11/2025,,, Operational Research in Health (ORH) (vendor no: 15363)
7021,"Operational research, including modelling services ",Directorate of Corporate Services,Information and Communications Technology ,ICT Management,Professional Services  / Consultancy,No,No,Yes,No,,,Goods/Service,Expenditure,"£ 135,000","£ 135,000",£ 0,36,No,No,Budget Holder Approval,,06/11/2022,05/11/2025,,, Operational Research in Health (ORH) (vendor no: 15363)
7129,Inclusive Leadership Gym - EDI training ,People Directorate,People Services,Inclusion,Professional Services  / Development and Training,Yes,No,Yes,No,,,Goods/Service,Expenditure,"£ 30,400","£ 30,400",£ 0,6,No,No,,,04/11/2022,30/04/2023,,, PAIDEIA TRAINING & CONSULTANCY (vendor no: 22344)
7140,Women in the Fire Service,People Directorate,Training and Professional Development,Training Operations,Professional Services  / Development and Training,No,No,Yes,No,,,Goods/Service,Expenditure,"£ 21,300","£ 21,300",£ 0,12,No,No,,,02/11/2022,01/11/2023,,, Women in the Fire Service  (vendor no: N/A)
6767,Lambeth River Station Refurbishment,Directorate of Corporate Services,Property and TSS,Property Major Projects,Construction and FM / Construction Service Providers,No,No,Yes,No,,,Works,Expenditure,"£ 76,498","£ 3,300,000","(£ 3,223,502)",10,No,No,,,31/10/2022,30/08/2023,,, B Nokes Contracts Ltd (vendor no: 19094)
7130,RSA Remote Access Solution,Directorate of Corporate Services,Information and Communications Technology ,ICT Management,ICT / Software,Yes,No,Yes,No,,,Goods/Service,Expenditure,"£ 13,177","£ 15,000","(£ 1,823)",12,No,No,Budget Holder Approval,,28/10/2022,27/10/2023,,, Computacenter (UK) Ltd (vendor no: N/A)
7019,COBRA/PPV CPD for high threat environments,Directorate for Preparedness and Response,Operational Resilience and Control,Response and Training,Professional Services  / Development and Training,Yes,No,Yes,No,,,Goods/Service,Expenditure,"£ 90,000","£ 45,000","£ 45,000",12,No,No,Head of Procurement approval for single tender action,,25/10/2022,24/10/2023,,, Northamptonshire County Council (vendor no: 20890)
7124,Corporate Membership ,Directorate of Corporate Services,Property and TSS,Property Strategy,Professional Services  / Business Support,Yes,No,Yes,No,,,Goods/Service,Expenditure,"£ 15,000","£ 15,000",£ 0,48,No,No,,,20/10/2022,19/10/2026,,, Institute of Workplace & Facilities Management  (vendor no: N/A)
6945,Lambeth Fire Station - Fabric Fire works,Directorate of Corporate Services,Property and TSS,Property Major Projects,Construction and FM / Construction Service Providers,No,No,Yes,No,,,Works,Expenditure,"£ 65,275","£ 65,275",£ 0,5,No,No,,,20/10/2022,19/03/2023,,,  b nokes (vendor no: N/A)
6905,Chelsea Windows,Directorate of Corporate Services,Property and TSS,Property Major Projects,Construction and FM / Construction Service Providers,No,No,Yes,No,,,Works,Expenditure,"£ 372,891","£ 311,989","£ 60,902",4,No,No,,,17/10/2022,,,, Axis Europe plc (vendor no: 21401)
7060,Carbon net Zero cooker replacement project,Directorate of Corporate Services,Property and TSS,Property Major Projects,Construction and FM / Property Occupation,No,No,Yes,No,,,Works,Expenditure,"£ 64,650","£ 64,650",£ 0,3,No,No,,,03/10/2022,02/01/2023,,, Lindfield Electrical  (vendor no: N/A)
