ContContracts Register -  All live contracts ,,,,,,,,,,,,,,,,,,,,,,,,,,
Ref No,Contract Title,Directorate,Department,Team Name,Classification,Term Contract,OJEU,Awarded,Has ext option,Contract variation,Electronics watch,Serivce type,Budget,Actual cost,Est cost,Cost variance,Duration (months),Extended,Ext post contract,Auth to tender,Framework Agreement,Initial start date,Initial end date,Ext start date,Ext end date,Successful supplier
6177,Provision of a Managed Archived Records Storage Service,Directorate of Corporate Services,Information and Communications Technology ,Business Intelligence,ICT / Services,Yes,Yes,Yes,Yes,,,Goods/Service,Expenditure,"£ 190,000","£ 190,000",£ 0,60,No,No,Budget Holder Approval,"CCS - RM3781, Lot 4",02/11/2018,01/11/2023,,, The Document Warehouse Limited (vendor no: 20414)
5885,Provision of PPE,Directorate for Preparedness and Response,Fire Stations,Central Operations Team,Clothing and PPE / Clothing and Textiles,Yes,Yes,Yes,No,,,Goods/Service,Expenditure,"£ 80,000,000","£ 80,000,000",£ 0,96,No,No,,Kent PPE Framework,15/10/2018,14/10/2026,,, Bristol Uniforms (vendor no: 1636)
6277,Safety Accredited Contractors:Forecourt Passport Scheme,People Directorate,Training and Professional Development,FSR Learning,Professional Services  / Operational Services,No,No,Yes,No,,,Goods/Service,Expenditure,"£ 17,000","£ 17,000",£ 0,56,No,No,Delegated Authority,,03/09/2018,03/05/2023,,, Tersus Consultancy Limited (vendor no: 21427)
6239,Fire Engineering Degree,People Directorate,Training and Professional Development,FSR Learning,Professional Services  / Development and Training,Yes,Yes,Yes,No,,,Goods/Service,Expenditure,"£ 197,600","£ 197,600",£ 0,60,No,No,Head of Procurement approval for single tender action,,01/08/2018,01/08/2023,,, Glasgow Caledonian University (vendor no: 20371)
6072,"For the provision of water and seawage, automated reading across the LFb estate",Directorate of Corporate Services,Property and TSS,Property Technical Assurance,Construction and FM / Energy,Yes,Yes,Yes,No,,,Goods/Service,Expenditure,"£ 250,000","£ 250,000",£ 0,60,No,No,Delegated Authority,Water Lot1 Aggregation RM3790,01/08/2018,01/08/2023,,, Anglian Water Business (National) Ltd trading as Wave (vendor no: 21459)
6110,Provision of Insurance Services,Directorate of Corporate Services,Finance,Accountancy & Treasury,Professional Services  / Financial,Yes,Yes,Yes,Yes,,,Goods/Service,Expenditure,"£ 6,661,418","£ 8,228,196","(£ 1,566,778)",36,Yes,No,Delegated Authority,,30/06/2018,30/06/2021,01/07/2021,30/06/2023," Risk Management Partners Limited (vendor no: 21007), Travelers Insurance Co Ltd (vendor no: Not Listed on POMS)"
6254,Specialist Paper ,Commissioner,Communications,External Communications,Office Solutions / Office Supplies,Yes,No,Yes,Yes,,,Goods/Service,Expenditure,"£ 1,500","£ 1,500",£ 0,6,Yes,Yes,Delegated Authority,,23/04/2018,24/11/2019,25/01/2021,05/03/2023, HV Sier  (vendor no: 5520)
6305,Foundation Software Contract,Directorate of Corporate Services,Information and Communications Technology ,ICT Management,ICT / Software,Yes,No,Yes,Yes,,,Goods/Service,Expenditure,"£ 3,000,000","£ 200,000","£ 2,800,000",48,Yes,No,,Technology Products 2,09/04/2018,08/04/2022,09/04/2022,08/04/2024, Phoenix Software Ltd (vendor no: 10026)
5943,Airwave,Directorate of Corporate Services,Information and Communications Technology ,ICT Management,ICT / Communication,Yes,Yes,Yes,Yes,,,Goods/Service,Expenditure,"£ 1,530,000","£ 1,530,000",£ 0,36,Yes,No,Budget Holder Approval,Local Government Radio,01/04/2018,01/04/2021,01/04/2021,30/06/2023,
6035,Electric Vehicle Chargepoints,Directorate of Corporate Services,Procurement and Commercial,Secondments,Construction and FM / Engineering Products and Equipment,Yes,Yes,Yes,Yes,,,Goods/Service,Expenditure,"£ 387,912","£ 387,912",£ 0,48,Yes,No,Delegated Authority,ESPO - 636 - Vehicle Charging Infrastructure,01/04/2018,31/03/2022,01/04/2022,01/04/2023, Chargemaster Plc   (vendor no: 20295)
6010,Provision of Occupational Health Services,People Directorate,People Services,Leavers,Professional Services  / Staff Medical Care,Yes,Yes,Yes,Yes,,,Goods/Service,Expenditure,"£ 6,000,000","£ 6,000,000",£ 0,36,Yes,Yes,Committee Decision,,05/03/2018,05/03/2021,03/03/2023,04/05/2024, HML Ltd (vendor no: 17970)
6142,Provision of Black Workwear Jackets for Senior Officers,Directorate for Preparedness and Response,Fire Stations,Central Operations Team,Clothing and PPE / Clothing and Textiles,No,No,Yes,Yes,,,Goods/Service,Expenditure,"£ 20,000","£ 20,000",£ 0,12,Yes,Yes,,,01/02/2018,01/02/2019,01/02/2019,30/04/2022, Burlington Uniforms (vendor no: 18007)
6094,Purchase & maintenance of mail screening X-ray scanner,Directorate of Corporate Services,Information and Communications Technology ,Document Management,Office Solutions / Post,No,No,Yes,No,,,Goods/Service,Expenditure,"£ 17,177","£ 17,177",£ 0,60,No,No,Budget Holder Approval,,31/12/2017,31/12/2022,,, Todd Research Ltd (vendor no: 21037)
5983,Microsoft EA Renewal(s),Directorate of Corporate Services,Information and Communications Technology ,ICT Management,ICT / Software,Yes,Yes,Yes,Yes,,,Goods/Service,Expenditure,"£ 3,308,762","£ 2,000,000","£ 1,308,762",48,Yes,No,,,11/12/2017,10/12/2021,11/12/2021,10/12/2023, Phoenix Software (vendor no: 10026)
6039,Lease Cars,Directorate of Corporate Services,Procurement and Commercial,Vehicle Administration,Fleet  / Vehicle Hire and Lease,Yes,Yes,Yes,No,,,Goods/Service,Expenditure,"£ 4,000,000","£ 4,000,000",£ 0,36,No,No,Budget Holder Approval,Halton Housing Framework,01/10/2017,30/09/2021,,," Days Fleet (vendor no: 20116), Automotive Leasing (vendor no: 15399), Daimler (vendor no: 21115), Lex Autoleasing (vendor no: 15252)"
5956,"The Provision of Planned And Reactive Maintenance Work For Appliance Bay Doors, Gates, Barriers And Drill Tower Grills And Shutters ",Directorate of Corporate Services,Property and TSS,Property FM & Minor Projects,Construction and FM / Engineering Products and Equipment,Yes,Yes,Yes,Yes,,,Goods/Service,Expenditure,"£ 1,640,000","£ 1,875,000","(£ 235,000)",36,Yes,Yes,Committee Decision,,17/06/2017,16/06/2020,16/06/2022,05/12/2022, Arkas Limited  (vendor no: 3598)
5984,Atkins Support and Development,Directorate of Corporate Services,Information and Communications Technology ,ICT Management,ICT / Services,Yes,Yes,Yes,Yes,,,Goods/Service,Expenditure,"£ 385,082","£ 2,560,000","(£ 2,174,918)",36,Yes,Yes,Budget Holder Approval,,01/04/2017,01/04/2018,01/04/2022,31/03/2023," Atkins PLC (vendor no: 15511), Atkins Global (vendor no: 15511)"
5986,Moore Stephens Application Support,Directorate of Corporate Services,Information and Communications Technology ,ICT Management,ICT / Services,Yes,No,Yes,Yes,,,Goods/Service,Expenditure,"£ 626,806","£ 626,806",£ 0,36,Yes,Yes,Budget Holder Approval,,01/04/2017,31/03/2020,30/09/2022,30/09/2023, Moore Stephens LLP (vendor no: 21144)
5950,E-Recruitment system,People Directorate,People Services,Leavers,ICT / Software,Yes,No,Yes,Yes,Yes,,Goods/Service,Expenditure,"£ 80,000","£ 80,000",£ 0,48,Yes,No,Budget Holder Approval,,24/03/2017,23/03/2021,24/03/2021,23/03/2023, lumesse (vendor no: 20992)
5894,Design Team Services - Third Training Centre,Directorate of Corporate Services,Property and TSS,Property Major Projects,Construction and FM / Consultancy,No,No,Yes,No,,,Goods/Service,Expenditure,"£ 170,475","£ 92,000","£ 78,475",26,No,No,Delegated Authority,HCA Multi-Disciplinary Panel,06/01/2017,06/10/2020,,, BDP (vendor no: Not Listed on POMS)
5781,"Maintenance of high pressure breathable oxygen and air compressors, high pressure pipework and associated distribution systems ",Directorate of Corporate Services,Property and TSS,Operations Support Group,Operational Equipment / Emergency and Rescue Equipment and Supplies,Yes,Yes,Yes,No,,,Goods/Service,Expenditure,"£ 175,000","£ 300,000","(£ 125,000)",60,No,No,,,16/09/2016,31/03/2023,,, Gas & Air Services (UK) Limited (vendor no: 12800)
5719,Re-development of 8 Albert Embankment,Directorate of Corporate Services,Property and TSS,Property Major Projects,Construction and FM / Consultancy,No,Yes,Yes,Yes,,,Works,Income,"£ 67,000,000","£ 50,000,000","£ 17,000,000",45,Yes,No,Committee Decision,,24/08/2016,24/05/2020,25/05/2020,31/07/2021, U and I Group PLC  (vendor no: 21369)
5755,Catering Consumables,Directorate for Preparedness and Response,Fire Stations,Fire Stations & Area Team Management,Construction and FM / Catering,Yes,No,Yes,Yes,,,Goods/Service,Expenditure,"£ 76,000","£ 190,000","(£ 114,000)",24,Yes,No,,ESPO Light Catering Framework 97,25/07/2016,24/07/2018,25/07/2018,24/10/2020, NISBETS PLC (vendor no: 14001)
5752,Respiratory Protective Equipment (RPE) Replacement Components,Directorate of Corporate Services,Property and TSS,Operations Support Group,Operational Equipment / Emergency and Rescue Equipment and Supplies,Yes,Yes,Yes,Yes,,,Goods/Service,Expenditure,"£ 2,000,000","£ 2,100,000","(£ 100,000)",60,Yes,Yes,,,01/07/2016,01/07/2023,01/07/2023,01/07/2024, Draeger Limited (vendor no: 2552)
5736,Relocation of LFB Museum,Directorate of Corporate Services,Property and TSS,Property Strategy,Construction and FM / Property Occupation,No,Yes,Yes,Yes,,,Goods/Service,Expenditure,"£ 250,000","£ 250,000",£ 0,60,Yes,No,Committee Decision,,01/06/2016,01/06/2021,01/06/2021,02/06/2025," Premier Moves Ltd (vendor no: 2821), Bishop's Move Ltd (vendor no: 20759)"
5750,Provision of Gas Automated Meter Reading (AMR) Services,Directorate of Corporate Services,Property and TSS,Property Technical Assurance,Construction and FM / Building Operations,Yes,No,Yes,No,,,Goods/Service,Expenditure,"£ 50,000","£ 50,000",£ 0,60,No,No,Delegated Authority,CCS Framework RM 896,01/04/2016,01/04/2021,,, Corona Energy (vendor no: 19185)
5757,Heavy Duty Lockers,Directorate of Corporate Services,Procurement and Commercial,Categories & Performance,Construction and FM / Furniture,Yes,No,Yes,No,,,Goods/Service,Expenditure,"£ 95,000","£ 95,000",£ 0,60,No,No,Delegated Authority,,01/03/2016,01/03/2021,,, Garran Lockers Limited (vendor no: 7395)
5844,Sum Total Cyborg,Directorate of Corporate Services,Information and Communications Technology ,ICT Management,ICT / Software,Yes,Yes,Yes,No,,,Goods/Service,Expenditure,"£ 509,539","£ 500,000","£ 9,539",60,No,No,Head of Procurement approval for single tender action,,01/03/2016,01/03/2021,,, SumTotal Systems UK Limited (vendor no: 13368)
5660,Undress Uniform: Blue Shirts,Directorate for Preparedness and Response,Fire Stations,Central Operations Team,Clothing and PPE / Clothing and Textiles,Yes,No,Yes,Yes,,,Goods/Service,Expenditure,"£ 35,000","£ 35,000",£ 0,60,No,No,,,01/12/2014,30/04/2022,,, Burlington Uniforms Ltd (vendor no: 18007)
5505,Emergency Fire Crew Capability Services,Directorate for Preparedness and Response,Operational Resilience and Control,Special Operations Group,Operational Equipment / Emergency and Rescue Services,Yes,Yes,Yes,Yes,,,Goods/Service,Expenditure,£ 0,"£ 20,000,000","(£ 20,000,000)",72,Yes,No,Committee Decision,,13/11/2014,12/11/2020,13/11/2020,12/11/2023, Securitas Security Services (UK) Ltd (vendor no: 19855)
5522,Fleet and Operational Equipment Items Management and Maintenance Contract,Directorate of Corporate Services,Property and TSS,TSS,Fleet  / Fleet Management,Yes,Yes,Yes,Yes,,,Goods/Service,Expenditure,"£ 477,000,000","£ 169,000,000","£ 308,000,000",252,No,No,,,13/11/2014,12/11/2035,,, Babcock Critical Services Ltd (vendor no: 14924)
5554,Rank and Role Markings,Directorate for Preparedness and Response,Fire Stations,Central Operations Team,Clothing and PPE / Clothing and Textiles,Yes,No,Yes,Yes,,,Goods/Service,Expenditure,£ 0,£ 0,£ 0,36,Yes,No,,,01/03/2014,28/02/2017,28/02/2017,28/02/2019, Wyedean Weaving Co Ltd (vendor no: 20205)
5553,Workwear: Jackets,Directorate for Preparedness and Response,Fire Stations,Central Operations Team,Clothing and PPE / Clothing and Textiles,Yes,No,Yes,Yes,,,Goods/Service,Expenditure,£ 0,£ 0,£ 0,48,Yes,Yes,,ESPO 144,10/10/2013,09/10/2017,01/07/2019,30/06/2022, Burlington Uniforms (agent for FCC Ltd) (vendor no: 18007)
5550,Property PFI Project,Directorate of Corporate Services,Property and TSS,Property FM & Minor Projects,Construction and FM / Building Operations,Yes,No,Yes,No,,,Goods/Service,Expenditure,"£ 150,000,000",£ 0,"£ 150,000,000",330,No,No,Committee Decision,,01/08/2013,04/02/2041,,, Blue3 (London) Ltd (vendor no: 20116)
5479,White Shirts and T Shirts,Directorate for Preparedness and Response,Fire Stations,Central Operations Team,Clothing and PPE / Clothing and Textiles,Yes,Yes,Yes,Yes,,,Goods/Service,Expenditure,£ 0,"£ 122,000","(£ 122,000)",36,Yes,Yes,,,01/08/2013,31/07/2016,31/07/2018,30/06/2022," Hunter Apparel&#x0D;
Burlington Uniforms  (vendor no: N/A)"
5414,Station Based Workwear,Directorate for Preparedness and Response,Fire Stations,Central Operations Team,Clothing and PPE / Clothing and Textiles,Yes,Yes,Yes,Yes,,,Goods/Service,Expenditure,£ 0,£ 0,£ 0,36,Yes,Yes,,,01/07/2013,30/06/2016,31/07/2018,30/06/2022, Hunter ApparelBurlington Uniforms  (vendor no: 8470)
5350,Control and Mobilising Services,Directorate of Corporate Services,Information and Communications Technology ,ICT Management,ICT / Services,Yes,Yes,Yes,Yes,,No,Goods/Service,Expenditure,"£ 19,601,893","£ 17,500,000","£ 2,101,893",120,Yes,No,,,01/08/2012,31/07/2022,01/08/2022,31/07/2024, SSS Public Safety (formerly Capita Secure Information Solutions Ltd) (vendor no: 9074)
5290,FOfT - Future Options for Training,People Directorate,Training and Professional Development,Training Operations,Professional Services  / Development and Training,Yes,Yes,Yes,No,,,Goods/Service,Expenditure,"£ 366,705,402","£ 366,705,402",£ 0,120,No,No,Committee Decision,,01/04/2012,31/03/2037,,, Babcock Training Ltd (vendor no: 14924)
5278,"Provision of the Preservation, Digitisation and Marketing of LFB's Photographic Archive",Directorate of Corporate Services,Information and Communications Technology ,Knowledge Management,Office Solutions / Record Management ,Yes,No,Yes,Yes,,,Goods/Service,Income,"£ 10,000","£ 70,000","(£ 60,000)",60,Yes,Yes,Budget Holder Approval,,25/07/2011,24/07/2016,24/07/2018,23/07/2019, Mary Evans Picture Library (vendor no: 20818)
5059,Waste collection service for discarded hosing materials,Directorate of Corporate Services,Procurement and Commercial,Sustainable Development,Construction and FM / Waste Management Services,Yes,No,Yes,Yes,,,Goods/Service,Income,£ 0,£ 0,£ 0,60,Yes,No,Committee Decision,,01/04/2009,01/04/2014,,01/04/2019, Eako Limited (vendor no: 20115)
6991,LFC Historic records storage & research service.,Directorate of Corporate Services,Information and Communications Technology ,Document Management,Office Solutions / Record Management ,Yes,No,Yes,No,Yes,,Goods/Service,Expenditure,"£ 47,520","£ 48,000",(£ 480),240,No,No,Budget Holder Approval,,27/05/2008,31/03/2028,,, City of London (London Metropolitan Archives) (vendor no: 19765)
7074,Domestic Pipework Replacement Project at Clapham Fire Station ,Directorate of Corporate Services,Property and TSS,Property Major Projects,Construction and FM / Property Occupation,No,No,Yes,No,,,Works,Expenditure,"£ 188,435","£ 188,435",£ 0,14,No,No,,LCP ,,,,, BSW Heating  (vendor no: N/A)
7012,Erith Electrical Rewire Project,Directorate of Corporate Services,Property and TSS,Property Major Projects,Construction and FM / Engineering Products and Equipment,No,No,Yes,No,,,Works,Expenditure,"£ 236,401","£ 236,401",£ 0,15,No,No,,LCP,,,,,
7044,Fire Engineering Degree,"Directorate for Prevention, Protection and Operational Policy",Prevention and Protection,FSR Learning,Professional Services  / Development and Training,Yes,No,Yes,No,,,Goods/Service,Expenditure,"£ 147,000","£ 147,000",£ 0,12,No,No,Delegated Authority,,,,,,
6988,Fire Safety Qualification (Reprocurement Contract),"Directorate for Prevention, Protection and Operational Policy",Prevention and Protection,FSR Learning,Professional Services  / Development and Training,Yes,Yes,Yes,No,,,Goods/Service,Expenditure,"£ 156,024","£ 156,024",£ 0,24,No,No,Budget Holder Approval,,,,,,
6839,Harrows Training Centre Replacement Windows and Door,Directorate of Corporate Services,Property and TSS,Property Major Projects,Construction and FM / Property Occupation,No,No,Yes,No,,,Works,Expenditure,"£ 262,862","£ 285,000","(£ 22,138)",12,No,No,,,,,,,
7095,Hearing Aids - TRF for STA,Commissioner,Directorate of Corporate Services,"Wellbeing, Health & Fitness   ",Professional Services  / Staff Medical Care,No,No,Yes,No,,,Goods/Service,Expenditure,"£ 24,000","£ 24,000",£ 0,24,No,No,,,,,,,
7061,"Lambeth River Station - Decoration, flooring and FFE",Directorate of Corporate Services,Property and TSS,Property Major Projects,Construction and FM / Property Occupation,No,No,Yes,No,,,Works,Expenditure,"£ 76,499","£ 80,000","(£ 3,501)",4,No,No,Committee Decision,,,,,, B Nokes Contracts (vendor no: N/A)
7006,Level 5 Fire Investigation ,"Directorate for Prevention, Protection and Operational Policy",Prevention and Protection,FSR Learning,Professional Services  / Development and Training,Yes,No,Yes,No,,,Goods/Service,Expenditure,"£ 61,334","£ 61,334",£ 0,36,No,No,,,,,,,
6913,Multi Disciplinary Services for Windows Refurbishement Projects,Commissioner,Directorate of Corporate Services,Property Major Projects,Construction and FM / Consultancy,No,No,Yes,No,,,Goods/Service,Expenditure,"£ 35,000","£ 35,000",£ 0,24,No,No,Delegated Authority,NHS -SBS,,,,,
6574,Peli Torches - Catalogue Compliance,"Directorate for Prevention, Protection and Operational Policy",Operational Policy,Categories & Performance,Operational Equipment / Emergency and Rescue Equipment and Supplies,Yes,No,Yes,No,,,Goods/Service,Expenditure,"£ 10,000","£ 10,000",£ 0,12,No,No,,,,01/01/2023,,, Peli Products (UK) LTD (vendor no: 16567)
6768,Plumstead Fire Station Refurbishment,Directorate of Corporate Services,Property and TSS,Property Major Projects,Construction and FM / Construction Service Providers,No,Yes,Yes,No,,,Works,Expenditure,"£ 5,100,000","£ 5,100,000",£ 0,14,No,No,Committee Decision,London Construction Programme,,,,, 8 Build  (vendor no: N/A)
6357,Rapid Chargepoints,Directorate of Corporate Services,Procurement and Commercial,Secondments,Construction and FM / Construction Service Providers,No,No,Yes,No,,,Works,Income,"£ 88,000","£ 80,000","£ 8,000",96,No,No,Committee Decision,Rapid Chargepoints ,,,,, Chargemaster Ltd (vendor no: N/A)
6975,"Twickenham fire station, Privacy for All works  ",Directorate of Corporate Services,Property and TSS,Property Access & Workplace,Construction and FM / Property Occupation,No,No,Yes,No,,,Works,Expenditure,"£ 298,800","£ 278,000","£ 20,800",3,No,No,,,,05/04/2023,,, Woodnut Construction and Developments Ltd (vendor no: 21961)
